Deal;Date;Metric;Value;Threshold;Relationship;Status
FIDC UME;28/02/2025;In store payment index (Total);0.1204;0.3;<=;OK
FIDC UME;31/03/2025;In store payment index (Total);0.1139;0.3;<=;OK
FIDC UME;31/05/2024;Renegotiation Index;0;0.1;<=;OK
FIDC UME;30/06/2024;Renegotiation Index;0;0.1;<=;OK
FIDC UME;31/07/2024;Renegotiation Index;0;0.1;<=;OK
FIDC UME;31/08/2024;Renegotiation Index;0;0.1;<=;OK
FIDC UME;30/09/2024;Renegotiation Index;0;0.1;<=;OK
FIDC UME;31/10/2024;Renegotiation Index;0;0.1;<=;OK
FIDC UME;30/11/2024;Renegotiation Index;0;0.1;<=;OK
FIDC UME;31/12/2024;Renegotiation Index;0;0.1;<=;OK
FIDC UME;31/01/2025;Renegotiation Index;0;0.1;<=;OK
FIDC UME;28/02/2025;Renegotiation Index;0;0.1;<=;OK
FIDC UME;31/03/2025;Renegotiation Index;0;0.1;<=;OK
FIDC UME;31/07/2024;Cash Transfer Index;1;0.95;>=;OK
FIDC UME;31/08/2024;Cash Transfer Index;0.9897;0.95;>=;OK
FIDC UME;30/09/2024;Cash Transfer Index;0.9901;0.95;>=;OK
FIDC UME;31/10/2024;Cash Transfer Index;0.9895;0.95;>=;OK
FIDC UME;30/11/2024;Cash Transfer Index;0.9892;0.95;>=;OK
FIDC UME;31/12/2024;Cash Transfer Index;0.9875;0.95;>=;OK
FIDC UME;31/01/2025;Cash Transfer Index;0.9987;0.95;>=;OK
FIDC UME;28/02/2025;Cash Transfer Index;0.9985;0.95;>=;OK
FIDC UME;31/03/2025;Cash Transfer Index;0.9945;0.95;>=;OK
FIDC SuperSim;31/07/2024;Weighted Average Portfolio Rate (% p.m.);0.2831;0.17;>=;OK
FIDC SuperSim;31/08/2024;Weighted Average Portfolio Rate (% p.m.);0.2833;0.17;>=;OK
FIDC SuperSim;30/09/2024;Weighted Average Portfolio Rate (% p.m.);0.2851;0.17;>=;OK
FIDC SuperSim;31/10/2024;Weighted Average Portfolio Rate (% p.m.);0.2888;0.17;>=;OK
FIDC SuperSim;30/11/2024;Weighted Average Portfolio Rate (% p.m.);0.2825;0.17;>=;OK
FIDC SuperSim;31/12/2024;Weighted Average Portfolio Rate (% p.m.);0.2821;0.17;>=;OK
FIDC SuperSim;31/01/2025;Weighted Average Portfolio Rate (% p.m.);0.2875;0.17;>=;OK
FIDC SuperSim;28/02/2025;Weighted Average Portfolio Rate (% p.m.);0.2916;0.17;>=;OK
FIDC SuperSim;31/03/2025;Weighted Average Portfolio Rate (% p.m.);0.2992;0.17;>=;OK
FIDC SuperSim;31/07/2024;Weighted Average Portfolio Maturity (months);7.68;4;>=;OK
FIDC SuperSim;31/08/2024;Weighted Average Portfolio Maturity (months);7.33;4;>=;OK
FIDC SuperSim;30/09/2024;Weighted Average Portfolio Maturity (months);7.07;4;>=;OK
FIDC SuperSim;31/10/2024;Weighted Average Portfolio Maturity (months);6.87;4;>=;OK
FIDC SuperSim;30/11/2024;Weighted Average Portfolio Maturity (months);6.9;4;>=;OK
FIDC SuperSim;31/12/2024;Weighted Average Portfolio Maturity (months);6.86;4;>=;OK
FIDC SuperSim;31/01/2025;Weighted Average Portfolio Maturity (months);6.9;4;>=;OK
FIDC SuperSim;28/02/2025;Weighted Average Portfolio Maturity (months);6.79;4;>=;OK
FIDC SuperSim;31/03/2025;Weighted Average Portfolio Maturity (months);6.67;4;>=;OK
FIDC SuperSim;31/07/2024;FPD 3m;0.2598;0.35;<=;OK
FIDC SuperSim;31/08/2024;FPD 3m;0.2543;0.35;<=;OK
FIDC SuperSim;30/09/2024;FPD 3m;0.2656;0.35;<=;OK
FIDC SuperSim;31/10/2024;FPD 3m;0.2727;0.35;<=;OK
FIDC SuperSim;30/11/2024;FPD 3m;0.2863;0.35;<=;OK
FIDC SuperSim;31/12/2024;FPD 3m;0.2762;0.35;<=;OK
FIDC SuperSim;31/01/2025;FPD 3m;0.2731;0.35;<=;OK
FIDC SuperSim;28/02/2025;FPD 3m;0.2728;0.35;<=;OK
FIDC SuperSim;31/03/2025;FPD 3m;0.3116;0.35;<=;OK
FIDC SuperSim;31/07/2024;SPD 3m;0.3465;0.45;<=;OK
FIDC SuperSim;31/08/2024;SPD 3m;0.3286;0.45;<=;OK
FIDC SuperSim;30/09/2024;SPD 3m;0.3346;0.45;<=;OK
FIDC SuperSim;31/10/2024;SPD 3m;0.3449;0.45;<=;OK
FIDC SuperSim;30/11/2024;SPD 3m;0.357;0.45;<=;OK
FIDC SuperSim;31/12/2024;SPD 3m;0.3699;0.45;<=;OK
FIDC SuperSim;31/01/2025;SPD 3m;0.3676;0.45;<=;OK
FIDC SuperSim;28/02/2025;SPD 3m;0.3847;0.45;<=;OK
FIDC SuperSim;31/03/2025;SPD 3m;0.381;0.45;<=;OK
FIDC SuperSim;31/07/2024;FPD 6m;0.258;0.35;<=;OK
FIDC SuperSim;31/08/2024;FPD 6m;0.2586;0.35;<=;OK
FIDC SuperSim;30/09/2024;FPD 6m;0.2623;0.35;<=;OK
FIDC SuperSim;31/10/2024;FPD 6m;0.2662;0.35;<=;OK
FIDC SuperSim;30/11/2024;FPD 6m;0.2718;0.35;<=;OK
FIDC SuperSim;31/12/2024;FPD 6m;0.2711;0.35;<=;OK
FIDC SuperSim;31/01/2025;FPD 6m;0.2732;0.35;<=;OK
FIDC SuperSim;28/02/2025;FPD 6m;0.2796;0.35;<=;OK
FIDC SuperSim;31/03/2025;FPD 6m;0.2941;0.35;<=;OK
FIDC SuperSim;31/07/2024;SPD 6m;0.344;0.45;<=;OK
FIDC SuperSim;31/08/2024;SPD 6m;0.336;0.45;<=;OK
FIDC SuperSim;30/09/2024;SPD 6m;0.341;0.45;<=;OK
FIDC SuperSim;31/10/2024;SPD 6m;0.3453;0.45;<=;OK
FIDC SuperSim;30/11/2024;SPD 6m;0.3434;0.45;<=;OK
FIDC SuperSim;31/12/2024;SPD 6m;0.3533;0.45;<=;OK
FIDC SuperSim;31/01/2025;SPD 6m;0.3573;0.45;<=;OK
FIDC SuperSim;28/02/2025;SPD 6m;0.3703;0.45;<=;OK
FIDC SuperSim;31/03/2025;SPD 6m;0.3764;0.45;<=;OK
FIDC Facio;31/07/2024;Over 15 MA40;0.1726;0.95;<=;OK
FIDC Facio;31/08/2024;Over 15 MA40;0.1638;0.95;<=;OK
FIDC Facio;30/09/2024;Over 15 MA40;0.1663;0.95;<=;OK
FIDC Facio;31/10/2024;Over 15 MA40;0.1641;0.95;<=;OK
FIDC Facio;30/11/2024;Over 15 MA40;0.1634;0.95;<=;OK
FIDC Facio;31/12/2024;Over 15 MA40;0.1659;0.95;<=;OK
FIDC Facio;31/01/2025;Over 15 MA40;0.163;0.95;<=;OK
FIDC Facio;28/02/2025;Over 15 MA40;0.1682;0.95;<=;OK
FIDC Facio;31/03/2025;Over 15 MA40;0.1742;0.95;<=;OK
FIDC Facio;31/07/2024;Average Return 30d MA40;1.0507;0.95;>=;OK
FIDC Facio;31/08/2024;Average Return 30d MA40;1.0609;0.95;>=;OK
FIDC Facio;30/09/2024;Average Return 30d MA40;1.0662;0.95;>=;OK
FIDC Facio;31/10/2024;Average Return 30d MA40;1.0695;0.95;>=;OK
FIDC Facio;30/11/2024;Average Return 30d MA40;1.0702;0.95;>=;OK
FIDC Facio;31/12/2024;Average Return 30d MA40;1.0673;0.95;>=;OK
FIDC Facio;31/01/2025;Average Return 30d MA40;1.0785;0.95;>=;OK
FIDC Facio;28/02/2025;Average Return 30d MA40;1.0771;0.95;>=;OK
FIDC Facio;31/03/2025;Average Return 30d MA40;1.0733;0.95;>=;OK
